                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3513,                  1.423,                 1.0052,                0.59367,                0.50075,                0.50091,                0.15708,                 2.4016,                 1.4913,                 1.0187,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3301,                 1.4003,                0.99533,                0.65724,                0.54854,                 0.5781,                0.19447,                 2.2517,                 1.4325,                  1.004,               0.001307,               0.001307,               0.001307
                     37,                 2.3365,                  1.416,                 1.0006,                0.68052,                0.51643,                0.55541,                0.19048,                 2.2846,                 1.4208,                 1.0018,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3403,                 1.4131,                 1.0094,                0.68644,                0.54689,                0.59989,                0.21407,                 2.2116,                 1.3626,                 0.9907,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.2996,                 1.3883,                0.99806,                 0.4705,                0.39849,                0.34195,                0.08961,                  2.702,                 1.6095,                 1.0649,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.2943,                 1.3639,                 1.0033,                 0.5292,                0.41187,                0.36662,                0.09978,                 2.6212,                  1.632,                 1.0539,              0.0012278,              0.0012278,              0.0012278
                     41,                  2.315,                 1.3978,                0.99988,                0.56147,                0.49291,                0.47031,                0.14589,                 2.4334,                 1.5052,                 1.0188,               0.001208,               0.001208,               0.001208
                     42,                 2.3321,                    1.4,                  1.003,                0.57322,                0.50075,                0.45824,                0.13505,                 2.4371,                 1.5178,                  1.019,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3281,                 1.3998,                0.99954,                0.65583,                0.55676,                0.57311,                0.19968,                  2.255,                 1.3857,                 1.0015,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.3575,                 1.3734,                   1.01,                0.61679,                0.52054,                0.52156,                0.16496,                 2.3845,                 1.4612,                 1.0164,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.3086,                 1.3911,                 1.0047,                0.60166,                0.49068,                0.50799,                0.16488,                 2.3504,                    1.5,                 1.0117,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2921,                 1.3597,                0.99534,                0.56186,                0.49515,                0.48081,                0.14404,                 2.4259,                 1.5044,                  1.021,               0.001109,               0.001109,               0.001109
                     47,                 2.2982,                 1.3706,                0.99702,                0.63503,                0.53361,                0.53653,                0.17167,                  2.337,                 1.4303,                  1.011,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.2699,                 1.3369,                0.99195,                0.52101,                0.44922,                0.41787,                0.11978,                 2.4988,                 1.5525,                 1.0312,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.3035,                 1.3655,                0.99365,                0.64894,                0.54599,                0.56398,                0.18885,                 2.2561,                 1.4015,                0.99585,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2999,                 1.3658,                0.98909,                0.58904,                0.49776,                0.49236,                0.14605,                 2.4473,                 1.4953,                 1.0246,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.3447,                 1.3816,                 0.9955,                0.67367,                0.55863,                0.58684,                0.20558,                 2.2082,                 1.3818,                0.99096,                0.00101,                0.00101,                0.00101
                     52,                 2.2856,                 1.3582,                0.99403,                0.69099,                0.55362,                0.59759,                 0.2151,                 2.1984,                 1.3863,                0.98355,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.2699,                 1.3545,                 1.0011,                0.54991,                0.45444,                0.42315,                0.12114,                  2.524,                  1.541,                 1.0341,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.3109,                 1.3564,                0.98735,                0.66041,                0.54369,                0.55961,                0.18677,                 2.2785,                 1.3904,                0.99875,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2841,                 1.3474,                  0.986,                0.62339,                0.53734,                0.54652,                0.18215,                  2.325,                 1.4387,                 1.0035,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.2417,                 1.3224,                0.98043,                0.71695,                0.60082,                0.64353,                0.23266,                 2.1885,                 1.3143,                0.98803,               0.000911,               0.000911,               0.000911
                     57,                 2.2947,                 1.3459,                 1.0049,                0.64763,                0.50934,                0.52732,                0.16773,                 2.3381,                  1.444,                 1.0071,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2709,                 1.3386,                 0.9883,                0.66457,                0.54229,                0.57776,                0.19903,                 2.2295,                 1.3768,                0.98715,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.2895,                 1.3639,                0.99083,                0.64359,                0.50775,                0.52559,                0.16655,                 2.3338,                  1.469,                 1.0053,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.2949,                 1.3598,                0.99257,                0.65406,                 0.5239,                 0.5503,                0.18369,                 2.3005,                 1.4296,                 1.0024,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3142,                 1.3618,                0.99349,                0.61636,                0.50634,                0.50772,                0.15179,                 2.4026,                 1.4679,                 1.0171,               0.000812,               0.000812,               0.000812
                     62,                 2.2433,                 1.3219,                0.98447,                0.65042,                0.53697,                0.56206,                0.18445,                 2.2749,                  1.407,                0.99965,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2603,                 1.3186,                0.99019,                0.55793,                0.46789,                 0.4361,                0.12305,                 2.5682,                  1.517,                  1.041,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.2721,                 1.3311,                0.99202,                 0.4967,                0.43913,                0.39108,                0.10913,                 2.6035,                 1.5703,                 1.0514,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.2353,                 1.3045,                0.97396,                0.69549,                0.58551,                0.60975,                  0.207,                 2.2422,                 1.3553,                0.98755,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.2538,                 1.3084,                0.98181,                0.66404,                0.56236,                0.57775,                0.19048,                  2.271,                 1.3866,                0.99373,               0.000713,               0.000713,               0.000713
                     67,                 2.2711,                  1.335,                0.98559,                0.67433,                0.56423,                0.59859,                0.20473,                  2.255,                 1.3617,                0.99667,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.2387,                 1.2982,                0.99356,                0.67909,                0.56945,                0.59711,                 0.2062,                 2.2271,                 1.3639,                0.98913,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.2002,                 1.2967,                0.98233,                0.63706,                0.54593,                0.55546,                0.17816,                  2.354,                 1.3909,                 1.0081,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2315,                 1.2804,                0.98589,                0.67511,                0.58041,                0.60936,                0.20617,                 2.2587,                 1.3538,                0.99427,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2568,                 1.2934,                0.99139,                0.69827,                0.56721,                 0.6081,                0.20926,                 2.2347,                 1.3735,                0.98934,               0.000614,               0.000614,               0.000614
                     72,                 2.2389,                  1.308,                0.98524,                0.53132,                0.41748,                0.37104,                0.10135,                 2.6511,                 1.6275,                 1.0604,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2304,                   1.29,                0.97247,                0.69211,                 0.6124,                0.63901,                0.22561,                 2.1808,                  1.314,                0.98232,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2103,                 1.2686,                0.98731,                0.67956,                0.58775,                0.60842,                0.20669,                 2.2258,                 1.3561,                0.98945,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.2114,                 1.2945,                0.98312,                0.69614,                0.56378,                0.60629,                0.20644,                 2.2301,                 1.3808,                0.98778,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2205,                  1.281,                0.98216,                0.69141,                0.61128,                0.63202,                0.22051,                 2.2071,                 1.3243,                0.98963,               0.000515,               0.000515,               0.000515
                     77,                 2.2264,                 1.2962,                0.98327,                0.60682,                0.50428,                0.50112,                0.15134,                 2.4769,                 1.4585,                 1.0259,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.1921,                 1.2785,                0.98507,                0.63565,                0.54461,                0.56248,                0.17943,                 2.3169,                 1.4348,                 1.0041,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.2008,                 1.2715,                0.97612,                0.61575,                0.53197,                0.51422,                0.15623,                 2.4299,                 1.4286,                 1.0182,              0.0004556,              0.0004556,              0.0004556
