                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                  2.704,                 1.6947,                 1.1515,                 0.3707,                0.33609,                0.28025,                0.07338,                 2.8725,                 1.8884,                 1.1949,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.7181,                 1.7245,                 1.1311,                0.35506,                0.29752,                0.24845,                0.06534,                   2.89,                 1.8978,                 1.1891,               0.001208,               0.001208,               0.001208
                     42,                 2.5187,                 1.6212,                 1.1059,                0.57332,                0.42424,                0.43728,                0.14861,                 2.5776,                 1.6895,                 1.1243,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.6233,                 1.6266,                 1.1188,                0.58636,                0.41598,                0.43303,                0.13695,                 2.5779,                  1.711,                 1.1225,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.5902,                 1.6385,                  1.115,                  0.504,                0.32782,                0.33725,                0.08637,                 2.7995,                 1.7953,                 1.1532,              0.0011486,              0.0011486,              0.0011486
                     45,                  2.588,                 1.6464,                 1.1022,                0.45681,                0.28926,                0.29035,                0.07106,                 2.8837,                 1.8434,                 1.1698,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.6033,                 1.6401,                 1.1082,                0.58865,                0.39669,                 0.4285,                0.13981,                 2.6246,                 1.6949,                 1.1292,               0.001109,               0.001109,               0.001109
                     47,                 2.5839,                 1.5997,                 1.1334,                0.58882,                0.41816,                0.45017,                0.14722,                   2.54,                 1.6744,                 1.1192,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.6485,                 1.7485,                 1.1794,                0.65117,                0.44628,                0.49625,                0.15792,                  2.527,                   1.61,                 1.1118,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.6102,                 1.6874,                 1.1217,                 0.5615,                0.42331,                0.45302,                0.14712,                 2.5609,                 1.6399,                 1.1172,              0.0010496,              0.0010496,              0.0010496
                     50,                  2.772,                 2.2263,                 1.1779,                0.50134,                0.40437,                0.41447,                0.13288,                 2.6198,                 1.6998,                 1.1279,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.4825,                 1.6168,                 1.1076,                0.60594,                0.43251,                0.43568,                0.14446,                 2.6746,                 1.6952,                 1.1601,                0.00101,                0.00101,                0.00101
                     52,                 2.6054,                 1.6293,                 1.1303,                0.56664,                0.38843,                0.41029,                0.11088,                 2.9577,                 1.7993,                  1.242,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.5909,                 1.5766,                 1.0892,                0.61159,                0.43379,                0.47167,                0.15955,                 2.5705,                 1.6264,                 1.1322,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5531,                 1.6164,                 1.0958,                0.47918,                0.38843,                0.36977,                0.11158,                 2.7115,                 1.7239,                 1.1428,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.5333,                 1.5944,                 1.1233,                0.59859,                0.41047,                0.45115,                0.14799,                 2.5719,                 1.6213,                 1.1197,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.5843,                 1.5925,                 1.1238,                0.58101,                0.45459,                0.50022,                0.17323,                 2.4346,                  1.569,                 1.1003,               0.000911,               0.000911,               0.000911
                     57,                 2.5377,                 1.6092,                 1.1125,                0.56291,                0.43802,                0.45846,                 0.1552,                  2.605,                 1.6122,                 1.1504,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.5161,                 1.5589,                  1.089,                 0.5987,                0.36915,                0.41757,                0.12696,                  2.497,                 1.6553,                  1.106,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.5391,                 1.5904,                  1.097,                0.61857,                0.42424,                0.44455,                0.12368,                 2.6731,                 1.6671,                 1.1265,              0.0008516,              0.0008516,              0.0008516
                     60,                  2.513,                 1.5529,                 1.1005,                0.63541,                0.45455,                0.48085,                0.14346,                 2.6625,                 1.6134,                 1.1232,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.5492,                 1.5785,                  1.115,                 0.5994,                0.47934,                0.50733,                0.16675,                 2.4771,                 1.5599,                 1.0947,               0.000812,               0.000812,               0.000812
                     62,                 2.5523,                 1.5818,                  1.105,                0.58099,                0.47747,                 0.5287,                0.17365,                  2.447,                 1.5506,                 1.1088,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.5386,                 1.5409,                 1.0903,                0.56103,                0.47883,                0.49896,                0.16999,                 2.4605,                 1.5731,                 1.1056,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.5035,                  1.495,                 1.0875,                0.56451,                0.46423,                 0.4874,                0.16468,                 2.4882,                 1.5781,                 1.0934,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.4733,                 1.5744,                 1.1062,                 0.5425,                0.46386,                0.48535,                0.16166,                 2.5367,                 1.5851,                 1.1033,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.6115,                 1.5557,                 1.0979,                0.53565,                0.44077,                0.46691,                0.15227,                 2.5303,                 1.6304,                 1.1171,               0.000713,               0.000713,               0.000713
                     67,                  2.549,                 1.5289,                 1.0844,                0.49066,                0.41047,                0.42343,                0.12679,                  2.579,                  1.678,                 1.1262,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.6101,                 1.5507,                 1.0949,                0.55724,                0.44032,                0.48407,                0.14992,                 2.4863,                 1.5559,                  1.108,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.4698,                 1.4833,                 1.0809,                0.55689,                  0.427,                 0.4745,                0.15695,                 2.4538,                 1.5445,                 1.0945,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.5504,                 1.7042,                 1.1022,                0.56573,                0.39836,                0.44182,                0.13248,                 2.6181,                 1.6411,                  1.117,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.4446,                  1.512,                 1.0852,                 0.5945,                0.39394,                0.43564,                0.13661,                 2.6302,                 1.6414,                 1.1237,               0.000614,               0.000614,               0.000614
                     72,                 2.5563,                 1.5399,                 1.0962,                0.56844,                0.46556,                0.52533,                 0.1734,                 2.4624,                  1.565,                 1.0974,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.4551,                 1.4701,                 1.0907,                0.59156,                 0.5124,                0.53554,                0.18072,                 2.4403,                 1.5217,                 1.0924,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.5242,                  1.509,                 1.0721,                0.61774,                0.51515,                0.56399,                 0.1854,                 2.4236,                 1.5222,                 1.0905,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.4715,                 1.4672,                 1.0795,                0.64372,                0.50768,                0.55364,                0.19314,                 2.4009,                  1.507,                 1.0856,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.4563,                 1.5814,                 1.1043,                0.67688,                0.49052,                0.54816,                0.18384,                 2.4786,                 1.5233,                 1.1025,               0.000515,               0.000515,               0.000515
                     77,                 2.5036,                 1.4656,                 1.1068,                0.63322,                0.47383,                 0.5324,                0.18113,                 2.4567,                 1.5347,                 1.0976,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.3984,                  1.423,                 1.0658,                0.59586,                0.48485,                0.52516,                0.16907,                  2.495,                 1.5392,                 1.1027,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.4224,                 1.4575,                 1.0748,                0.60687,                0.45179,                0.48665,                0.15774,                 2.5193,                  1.544,                 1.1042,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.4362,                 1.4544,                 1.0844,                0.59735,                0.47107,                0.50226,                0.16161,                 2.5516,                 1.5524,                  1.105,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.4375,                 1.4372,                  1.089,                0.58094,                0.42975,                0.45852,                0.14574,                 2.6198,                 1.6144,                  1.118,               0.000416,               0.000416,               0.000416
                     82,                 2.3907,                  1.399,                 1.0658,                0.58724,                0.44077,                0.48266,                0.15552,                 2.5619,                 1.6091,                 1.1066,              0.0003962,              0.0003962,              0.0003962
                     83,                  2.484,                 1.5214,                 1.0915,                 0.5987,                0.47107,                0.50568,                0.17033,                 2.5066,                 1.5469,                 1.0961,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.3912,                  1.406,                 1.0632,                0.63106,                0.49311,                0.53815,                0.18377,                 2.4635,                 1.4961,                 1.0901,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.4873,                 1.4701,                 1.0902,                0.64727,                0.51791,                0.57276,                 0.1984,                 2.4281,                 1.4808,                 1.0882,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.4868,                 1.4336,                 1.0687,                0.66233,                 0.5124,                0.57098,                0.18951,                 2.4929,                 1.5021,                 1.1043,               0.000317,               0.000317,               0.000317
                     87,                 2.3924,                 1.4251,                 1.0643,                0.65602,                0.50964,                0.57323,                0.19477,                 2.4636,                 1.4935,                 1.0932,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.4586,                 1.4747,                 1.0971,                0.67656,                0.50134,                0.57355,                 0.1986,                 2.4318,                   1.48,                 1.0887,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.3855,                 1.4148,                 1.0654,                0.65617,                0.51515,                0.56271,                0.19869,                 2.4175,                 1.4779,                 1.0869,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.4311,                 1.4237,                 1.0546,                0.68562,                0.52342,                 0.5783,                0.18763,                 2.4479,                 1.4964,                 1.0879,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.5736,                 1.6617,                 1.1404,                0.65622,                 0.5124,                0.54991,                0.18345,                 2.4533,                 1.5184,                 1.0866,               0.000218,               0.000218,               0.000218
                     92,                  2.438,                 1.5734,                 1.1092,                 0.6689,                0.52066,                0.56205,                0.18501,                 2.5014,                 1.5152,                  1.103,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.3894,                 1.5107,                 1.0922,                0.60485,                0.45119,                 0.4644,                0.13582,                 2.7903,                 1.5861,                 1.1861,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.3794,                 1.4966,                 1.1091,                 0.5144,                0.37741,                0.34492,                0.08599,                 3.0586,                 1.6504,                 1.2671,              0.0001586,              0.0001586,              0.0001586
                     95,                  2.337,                 1.4394,                 1.1158,                0.55336,                0.42663,                0.41691,                 0.1032,                 2.9642,                 1.6097,                 1.2349,              0.0001388,              0.0001388,              0.0001388
                     96,                   2.37,                  1.441,                 1.1101,                0.64084,                0.47934,                0.51588,                0.15564,                 2.6756,                 1.5308,                 1.1504,               0.000119,               0.000119,               0.000119
                     97,                 2.4785,                 1.5223,                 1.1617,                0.63054,                0.49587,                0.54308,                0.18364,                 2.5096,                 1.4929,                 1.1036,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.3491,                   1.39,                 1.0932,                0.64779,                0.47107,                0.55134,                0.18692,                 2.4368,                 1.4859,                 1.0788,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.3501,                 1.4106,                 1.0868,                0.65593,                0.47267,                0.55236,                0.18714,                 2.4352,                  1.485,                 1.0772,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  2.343,                 1.4259,                 1.1133,                 0.6656,                0.47658,                0.55306,                0.18409,                   2.46,                 1.4945,                 1.0801,               3.98e-05,               3.98e-05,               3.98e-05
