                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9248,                 78.258,                 3.7412,                      0,                      0,                      0,                      0,                 6.8803,                  160.7,                 4.0131,                0.00018,                0.00018,                0.00018
                      2,                 6.3075,                 24.471,                 3.6358,                      0,                      0,                      0,                      0,                 6.6432,                 159.35,                 3.8951,             0.00037624,             0.00037624,             0.00037624
                      3,                 5.7126,                 11.915,                  2.963,                      0,                      0,                      0,                      0,                 6.0455,                 154.68,                 3.5883,             0.00056852,             0.00056852,             0.00056852
                      4,                 5.0049,                 6.5427,                 2.3677,                      0,                      0,                      0,                      0,                 5.0217,                 131.64,                 3.0352,             0.00075683,             0.00075683,             0.00075683
                      5,                 4.4458,                 3.9167,                 2.0803,                      0,                      0,                      0,                      0,                 3.2126,                 87.466,                 2.0139,             0.00094119,             0.00094119,             0.00094119
                      6,                 4.4219,                 3.6284,                 1.8613,                      0,                      0,                      0,                      0,                 1.9804,                 72.761,                 1.3005,              0.0011216,              0.0011216,              0.0011216
                      7,                 3.9461,                  2.926,                 1.5917,                      0,                      0,                      0,                      0,                 1.1272,                 69.045,                0.79528,               0.001298,               0.001298,               0.001298
                      8,                 3.9488,                 2.7319,                 1.5427,                      0,                      0,                      0,                      0,                0.85638,                 64.341,                0.62233,              0.0014705,              0.0014705,              0.0014705
                      9,                  3.671,                 2.6375,                 1.4955,                      0,                      0,                      0,                      0,                  2.871,                 80.504,                 1.3128,               0.001639,               0.001639,               0.001639
                     10,                 3.5531,                 2.5451,                 1.4209,                0.00116,                0.02204,                0.00872,                 0.0031,                  3.673,                 8.3148,                 1.4671,              0.0018036,              0.0018036,              0.0018036
                     11,                 3.4183,                 2.4288,                 1.3901,                0.49234,                0.06336,                0.06406,                0.01938,                 3.1839,                 3.1085,                 1.3489,               0.001802,               0.001802,               0.001802
                     12,                 3.3457,                 3.7375,                 1.3799,                 0.2947,                0.14325,                0.10886,                0.03449,                 3.0818,                 2.3456,                 1.2879,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.3844,                 2.4053,                 1.3621,                0.24357,                 0.1708,                0.09497,                0.03108,                 3.0073,                 2.5923,                 1.2784,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.2136,                 2.2292,                 1.3245,                0.30492,                0.18457,                0.14368,                0.04159,                 3.0901,                  2.549,                  1.317,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.0446,                 2.2003,                 1.2809,                0.20386,                0.16804,                0.08217,                0.02587,                 2.9939,                   3.23,                 1.2776,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.0223,                 2.0879,                 1.2671,                0.35283,                0.25344,                0.23378,                0.07849,                 2.8413,                 2.2622,                 1.2494,               0.001703,               0.001703,               0.001703
                     17,                 2.9818,                 2.0415,                 1.2456,                0.36427,                0.33609,                0.25588,                 0.0843,                 2.8403,                 2.1744,                 1.2414,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.0261,                 2.1338,                 1.2451,                0.38153,                0.33058,                0.26039,                0.08632,                 2.9197,                 2.0309,                 1.2436,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.9382,                 2.0758,                 1.2373,                0.51219,                0.33884,                0.31746,                0.09963,                 2.7053,                 2.0495,                 1.1789,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.9109,                 2.0457,                 1.2271,                0.44248,                0.31702,                0.26388,                0.08309,                  2.835,                 2.1454,                  1.205,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.9711,                 2.0784,                 1.2011,                0.39954,                0.38292,                0.31595,                0.10275,                 2.7671,                 2.0821,                 1.1841,               0.001604,               0.001604,               0.001604
                     22,                 2.8669,                 1.9565,                 1.1526,                0.44889,                0.36575,                0.31544,                0.08818,                 2.8761,                 2.2502,                 1.2038,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.8655,                 2.0096,                 1.2404,                0.46803,                0.41322,                 0.3608,                 0.1137,                 2.7847,                 2.1795,                 1.1977,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.8143,                 1.8999,                 1.1855,                   0.48,                0.35855,                 0.3315,                0.11486,                 2.6429,                 2.2946,                 1.1657,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.7357,                 2.0172,                   1.15,                0.48974,                0.40189,                0.36283,                0.11811,                 2.7279,                 2.0047,                 1.1754,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.8009,                 1.9433,                 1.2238,                0.45873,                0.36889,                0.32024,                0.08835,                 3.1481,                 2.0295,                 1.2908,               0.001505,               0.001505,               0.001505
                     27,                 2.7334,                 1.8215,                 1.1572,                0.48532,                0.39394,                0.38444,                0.12069,                 2.6888,                 1.9396,                 1.1648,              0.0014852,              0.0014852,              0.0014852
                     28,                  2.879,                 1.8843,                 1.1646,                0.44987,                0.42149,                0.38877,                0.12144,                 2.7553,                 1.8488,                 1.1876,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.6932,                 1.8194,                 1.1595,                0.48143,                0.39642,                0.36771,                0.09977,                  2.985,                 1.8853,                 1.2376,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.7174,                 1.7575,                 1.1465,                0.33729,                0.32507,                0.23001,                0.06085,                 3.0326,                 1.9543,                 1.2177,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.7675,                 1.7688,                 1.1443,                0.38924,                0.34711,                0.30216,                0.08075,                 2.7645,                 1.8889,                 1.1718,               0.001406,               0.001406,               0.001406
                     32,                 2.6944,                 1.7839,                  1.166,                0.42805,                0.34711,                0.28207,                0.07844,                 3.1692,                 1.8915,                 1.2938,              0.0013862,              0.0013862,              0.0013862
                     33,                  2.737,                 2.0931,                 1.1918,                 0.5417,                0.41873,                0.40746,                0.12965,                  2.793,                 1.7795,                 1.1889,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.7539,                 1.8173,                 1.1638,                0.46175,                0.27414,                 0.2641,                0.05932,                  3.123,                 2.0013,                  1.236,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.6393,                 1.7209,                 1.1142,                0.36716,                 0.2314,                0.21612,                0.05349,                 3.1575,                 2.0385,                 1.2422,              0.0013268,              0.0013268,              0.0013268
                     36,                  2.658,                 1.7063,                 1.1388,                0.52031,                 0.3719,                0.36529,                0.12501,                 2.7018,                 1.9275,                 1.1885,               0.001307,               0.001307,               0.001307
                     37,                  2.749,                 1.7443,                 1.1573,                  0.516,                0.35262,                0.36701,                0.11006,                 2.7267,                 1.8808,                 1.1806,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.5854,                 1.6923,                 1.1612,                0.55404,                 0.3662,                 0.3938,                0.11717,                  2.657,                 1.8071,                 1.1561,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.7134,                 1.6996,                 1.1639,                0.55181,                0.46806,                0.47662,                0.14922,                 2.6666,                 1.6691,                 1.1576,              0.0012476,              0.0012476,              0.0012476
